Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/gp/bestsellers/computers/1375464031/ref=sr_bs_8_1375464031_1,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,199",4.3,539,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/sspa/click?ie=UTF8&spc=MTo0Mzk0Mzg3OTg0OTYyODc5OjE2OTAwMDIzNjk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDkwNjQ0OTk5NDA2OjowOjo&url=%2FCosmus-Tuxer-Laptop-Backpack-Compartments%2Fdp%2FB09HCK9MLX%2Fref%3Dsxin_25_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09HCK9MLX%26pd_rd_r%3D5a8ee6fe-accb-42b9-a72e-ce0855fece63%26pd_rd_w%3DR0rcX%26pd_rd_wg%3Dbvi1b%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DSZV04BP9EYQ1DWQKYKMA%26qid%3D1690002369%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,COSMUS Tuxer 38L Large Laptop Backpack With 3 Compartments,"₹1,692",4.1,301,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/sspa/click?ie=UTF8&spc=MTo0Mzk0Mzg3OTg0OTYyODc5OjE2OTAwMDIzNjk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDkwNjQ0OTk5NDA2OjowOjo&url=%2FCosmus-Tuxer-Laptop-Backpack-Compartments%2Fdp%2FB09HCK9MLX%2Fref%3Dsxin_25_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09HCK9MLX%26pd_rd_r%3D5a8ee6fe-accb-42b9-a72e-ce0855fece63%26pd_rd_w%3DR0rcX%26pd_rd_wg%3Dbvi1b%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DSZV04BP9EYQ1DWQKYKMA%26qid%3D1690002369%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,COSMUS Tuxer 38L Large Laptop Backpack With 3 Compartments,"₹1,692",4.1,301,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/sspa/click?ie=UTF8&spc=MTo0Mzk0Mzg3OTg0OTYyODc5OjE2OTAwMDIzNjk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDY1NTMzNjg0Njk4OjoxOjo&url=%2FPOLICE-ltrs-cms-backpack-PTO020008_1_black%2Fdp%2FB0B81YTTWS%2Fref%3Dsxin_25_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B81YTTWS%26pd_rd_r%3D5a8ee6fe-accb-42b9-a72e-ce0855fece63%26pd_rd_w%3DR0rcX%26pd_rd_wg%3Dbvi1b%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DSZV04BP9EYQ1DWQKYKMA%26qid%3D1690002369%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,700",4.0,247,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/sspa/click?ie=UTF8&spc=MTo0Mzk0Mzg3OTg0OTYyODc5OjE2OTAwMDIzNjk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTQ0NzQzNzU0MDk4OjoyOjo&url=%2FSwisslook-Polyester-15-6-inch-Backpack-Waterproof%2Fdp%2FB07XYTZP4Z%2Fref%3Dsxin_25_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB07XYTZP4Z%26pd_rd_r%3D5a8ee6fe-accb-42b9-a72e-ce0855fece63%26pd_rd_w%3DR0rcX%26pd_rd_wg%3Dbvi1b%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DSZV04BP9EYQ1DWQKYKMA%26qid%3D1690002369%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-3-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"₹2,839",4.3,1699,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/sspa/click?ie=UTF8&spc=MTo0Mzk0Mzg3OTg0OTYyODc5OjE2OTAwMDIzNjk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDIxMjEzNDg3NDA2OjozOjo&url=%2FCosmus-Atomic-Compartment-Large-Laptop%2Fdp%2FB077NZJ5XZ%2Fref%3Dsxin_25_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB077NZJ5XZ%26pd_rd_r%3D5a8ee6fe-accb-42b9-a72e-ce0855fece63%26pd_rd_w%3DR0rcX%26pd_rd_wg%3Dbvi1b%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DSZV04BP9EYQ1DWQKYKMA%26qid%3D1690002369%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-4-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,COSMUS Atomic Dx 3 Compartment Large Laptop Bag Polyester Laptop Backpack,"₹1,939",4.4,4099,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/sspa/click?ie=UTF8&spc=MTo0Mzk0Mzg3OTg0OTYyODc5OjE2OTAwMDIzNjk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUzNTg4Mjk3OTk4Ojo0Ojo&url=%2FWALKENT-Bagpack-Waterproof-Function-Pockets%2Fdp%2FB09BVWXBFG%2Fref%3Dsxin_25_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09BVWXBFG%26pd_rd_r%3D5a8ee6fe-accb-42b9-a72e-ce0855fece63%26pd_rd_w%3DR0rcX%26pd_rd_wg%3Dbvi1b%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DSZV04BP9EYQ1DWQKYKMA%26qid%3D1690002369%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-5-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"ARCTIC HUNTER 15.6"" Laptop Bag (Model Aura) Two Side Bottle Pocket, Waterproof, Multi-Function Pockets for Office College Men Women","₹3,369",4.3,68,,,,
,,,,,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690002369&sprefix=ba%2Caps%2C283&sr=8-10,Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"₹1,125",4.4,5891,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1690002369&sprefix=ba%2Caps%2C283&sr=8-11,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),₹987,4.4,5911,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1690002369&sprefix=ba%2Caps%2C283&sr=8-12,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899,3.9,9884,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690002369&sprefix=ba%2Caps%2C283&sr=8-13,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679,4.0,4886,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690002369&sprefix=ba%2Caps%2C283&sr=8-14,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹839,4.3,3661,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690002369&sprefix=ba%2Caps%2C283&sr=8-15,Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,₹415,4.0,119,,,,
https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690002369&sprefix=ba%2Caps%2C283&sr=8-16,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,₹248,4.0,19965,,,,
